Title,Description,Phase,Priority,Status,Labels,Task ID
[FK-001] Definir estructura inicial del proyecto,Fase: Preparación. Implementar y dejar validada esta tarea dentro del desarrollo de Fortune Kids.,Preparación,P0,In Review,"fortune-kids,fase-0",FK-001
[FK-002] Crear estructura de carpetas del proyecto,Fase: Preparación. Implementar y dejar validada esta tarea dentro del desarrollo de Fortune Kids.,Preparación,P0,In Review,"fortune-kids,fase-0",FK-002
[FK-003] Configurar HTML5 base,Fase: Preparación. Implementar y dejar validada esta tarea dentro del desarrollo de Fortune Kids.,Preparación,P0,In Review,"fortune-kids,fase-0",FK-003
[FK-004] Configurar CSS base,Fase: Preparación. Implementar y dejar validada esta tarea dentro del desarrollo de Fortune Kids.,Preparación,P0,In Review,"fortune-kids,fase-0",FK-004
[FK-005] Configurar sistema de diseño y variables CSS,Fase: Preparación. Implementar y dejar validada esta tarea dentro del desarrollo de Fortune Kids.,Preparación,P0,In Review,"fortune-kids,fase-0",FK-005
[FK-006] Configurar tipografías,Fase: Preparación. Implementar y dejar validada esta tarea dentro del desarrollo de Fortune Kids.,Preparación,P0,In Review,"fortune-kids,fase-0",FK-006
[FK-007] Crear estructura base de navegación,Fase: Preparación. Implementar y dejar validada esta tarea dentro del desarrollo de Fortune Kids.,Preparación,P0,In Review,"fortune-kids,fase-0",FK-007
[FK-008] Crear README del proyecto,Fase: Preparación. Implementar y dejar validada esta tarea dentro del desarrollo de Fortune Kids.,Preparación,P0,In Review,"fortune-kids,fase-0",FK-008
[FK-010] Definir arquitectura general de la web,Fase: Arquitectura y diseño. Implementar y dejar validada esta tarea dentro del desarrollo de Fortune Kids.,Arquitectura y diseño,P0,Backlog,"fortune-kids,fase-1",FK-010
[FK-011] Definir mapa de páginas,Fase: Arquitectura y diseño. Implementar y dejar validada esta tarea dentro del desarrollo de Fortune Kids.,Arquitectura y diseño,P0,Backlog,"fortune-kids,fase-1",FK-011
[FK-012] Definir estructura del Header,Fase: Arquitectura y diseño. Implementar y dejar validada esta tarea dentro del desarrollo de Fortune Kids.,Arquitectura y diseño,P0,Backlog,"fortune-kids,fase-1",FK-012
